2025-11-21,152.92999267578125,155.8800048828125,148.63999938964844,151.97999572753906,16240800
2025-11-24,160.72999572753906,161.5,158.6999969482422,160.0,21796600
2025-11-25,157.00999450683594,166.3699951171875,156.14999389648438,165.1999969482422,27097500
2025-11-26,157.60000610351562,161.4600067138672,150.0,159.09500122070312,21453100
2025-11-28,157.3000030517578,158.69000244140625,155.67999267578125,156.16000366210938,7185500
2025-12-01,164.25999450683594,164.85000610351562,159.41000366210938,160.5,15321200
2025-12-02,161.1300048828125,161.72999572753906,159.1199951171875,161.1999969482422,9878500
2025-12-03,158.0800018310547,158.4550018310547,156.52999877929688,157.39999389648438,6968000
2025-12-04,157.44000244140625,158.8000030517578,156.41000366210938,158.27000427246094,6666300
2025-12-05,158.32000732421875,159.49000549316406,157.67999267578125,159.14999389648438,6260900
