,股票代码,实际总收益率,最大回测率,夏普比率,信息比率,特雷诺比率,阿尔法(alpha),市场因子MKT,规模因子SMB,价值因子HML,盈利能力因子RMW,投资模式因子CMA,股票名称
0,600100.SH,0.24746744948010257,0.2848100699160002,-0.00034106000418986505,8.765935301527115,0.0011615025450098357,0.00019020417381214157,0.8564011476019929,-0.9408006071552661,-0.7968552075621144,-2.137994102963374,-0.43378538858669224,同方股份
1,600626.SH,0.34848487402708966,0.3479166687362723,0.0003337044187682271,10.66244291034027,0.0016013588714199724,0.0008604560710868244,1.0379926653021418,0.9456669886668582,0.09291845911282312,0.3902500408212312,1.1481631565093111,申达股份
2,000630.SZ,0.4678447837378333,0.2396907923142659,8.802316224835387e-05,18.67903379456323,0.001735219421981816,0.0010378921022343604,1.5906443286810907,-0.530170288451894,0.9215550502531645,-0.20030532434468418,-0.3025759396621528,铜陵有色
3,000850.SZ,-0.016404977430569626,0.3029126294425234,-0.0014704806702844722,-1.3061905479579399,0.00018631436365585394,-0.000851705042740026,0.7497585358525077,0.6074903522451323,0.3951428483019566,-0.3587754119709807,-0.3745956280247173,华茂股份
4,600368.SH,0.10967738240572472,0.268421003589338,-0.0009686557613894143,3.857855292753973,0.0006591196861494494,0.0003151262205058065,0.8258497128933432,-0.27211934236520996,0.8601251197715424,-0.4242669313845795,0.11357298579932248,五洲交通
5,603766.SH,0.6463096567926618,0.18596792111694044,0.0008429814492898016,22.66102171820337,0.0022710227657952472,0.0008745714620179963,0.9019105549484752,0.39494367407833153,0.15990717440957916,-0.5627797443230657,-1.360654397839203,隆鑫通用
6,600105.SH,2.2123111211238595,0.32732728007167594,0.004375169858978772,53.129001863866264,0.005323632028640661,0.002771649323394472,0.9840179779797286,1.2018352192864419,0.11690706344575494,-1.3745778298093745,-2.2368907839438674,永鼎股份
7,600603.SH,0.4010695091713803,0.41237114000993536,-1.2825274190824939e-05,15.376603138612921,0.0015763173742487497,0.0018068912992051198,0.6475269822555616,0.6934383507361681,0.1276080509536051,1.4950814329723414,1.5483258984954067,广汇物流
8,002344.SZ,0.15022608100644103,0.4318181818181818,-0.0005611752488713176,4.898502048928933,0.0008810077798836577,-0.00037815611158204687,1.0881272561818995,0.7762711959285413,1.225127382226504,-0.38084946306295325,-0.33205996597096277,海宁皮城
9,000407.SZ,0.13902914395806162,0.2390746046853822,-0.0014219558878751648,6.403111061457937,0.0006509303300698813,-0.00027954323224182586,1.0577593142470414,0.8734843494037345,1.08409241544845,0.2798513283927813,0.1109104316411271,胜利股份
10,000883.SZ,-0.06406161480811079,0.14285722140631452,-0.00362602374370259,-6.656382117779108,-0.00022517013721333294,-0.0006025173645652385,0.8507486274938963,-0.004510316769209464,0.8885042571537176,0.062027515620559893,-0.020417700670721323,湖北能源
